match_id,date,venue,team_a,team_b,team_a_players_total,team_a_players_known,team_a_coverage,team_b_players_total,team_b_players_known,team_b_coverage,total_players,known_players,total_coverage,tier,tier_num,match_type,gender,event,has_outcome
1000887,2017-01-13,"Brisbane Cricket Ground, Woolloongabba",Australia,Pakistan,11,9,81.8,11,11,100.0,22,20,90.9,Tier 1 - Excellent,1,ODI,male,Pakistan in Australia ODI Series,True
1000889,2017-01-15,Melbourne Cricket Ground,Australia,Pakistan,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,Pakistan in Australia ODI Series,True
1000891,2017-01-19,Western Australia Cricket Association Ground,Australia,Pakistan,11,10,90.9,11,11,100.0,22,21,95.5,Tier 1 - Excellent,1,ODI,male,Pakistan in Australia ODI Series,True
1000893,2017-01-22,Sydney Cricket Ground,Australia,Pakistan,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,Pakistan in Australia ODI Series,True
1000895,2017-01-26,Adelaide Oval,Australia,Pakistan,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,Pakistan in Australia ODI Series,True
1001371,2016-12-04,Sydney Cricket Ground,Australia,New Zealand,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,Chappell-Hadlee Trophy,True
1001373,2016-12-06,Manuka Oval,Australia,New Zealand,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,Chappell-Hadlee Trophy,True
1001375,2016-12-09,Melbourne Cricket Ground,Australia,New Zealand,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,Chappell-Hadlee Trophy,True
1004283,2016-09-08,"Grange Cricket Club Ground, Raeburn Place",Hong Kong,Scotland,11,7,63.6,11,10,90.9,22,17,77.3,Tier 2 - Good,2,ODI,male,Hong Kong in Scotland ODI Series,True
1004285,2016-09-10,"Grange Cricket Club Ground, Raeburn Place",Hong Kong,Scotland,11,7,63.6,11,10,90.9,22,17,77.3,Tier 2 - Good,2,ODI,male,Hong Kong in Scotland ODI Series,True
1007649,2016-06-11,Harare Sports Club,India,Zimbabwe,11,9,81.8,11,10,90.9,22,19,86.4,Tier 1 - Excellent,1,ODI,male,India in Zimbabwe ODI Series,True
1007651,2016-06-13,Harare Sports Club,India,Zimbabwe,11,9,81.8,11,10,90.9,22,19,86.4,Tier 1 - Excellent,1,ODI,male,India in Zimbabwe ODI Series,True
1007653,2016-06-15,Harare Sports Club,India,Zimbabwe,11,9,81.8,11,10,90.9,22,19,86.4,Tier 1 - Excellent,1,ODI,male,India in Zimbabwe ODI Series,True
1019973,2016-12-26,Hagley Oval,Bangladesh,New Zealand,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,Bangladesh in New Zealand ODI Series,True
1019975,2016-12-29,Saxton Oval,Bangladesh,New Zealand,11,8,72.7,11,11,100.0,22,19,86.4,Tier 1 - Excellent,1,ODI,male,Bangladesh in New Zealand ODI Series,True
1019977,2016-12-31,Saxton Oval,Bangladesh,New Zealand,11,9,81.8,11,11,100.0,22,20,90.9,Tier 1 - Excellent,1,ODI,male,Bangladesh in New Zealand ODI Series,True
1020013,2017-01-30,Eden Park,Australia,New Zealand,11,10,90.9,11,11,100.0,22,21,95.5,Tier 1 - Excellent,1,ODI,male,Chappell-Hadlee Trophy,True
1020017,2017-02-05,Seddon Park,Australia,New Zealand,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,Chappell-Hadlee Trophy,True
1020031,2017-02-19,Seddon Park,New Zealand,South Africa,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,South Africa in New Zealand ODI Series,True
1020033,2017-02-22,Hagley Oval,New Zealand,South Africa,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,South Africa in New Zealand ODI Series,True
1020035,2017-02-25,Westpac Stadium,New Zealand,South Africa,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,South Africa in New Zealand ODI Series,True
1020037,2017-03-01,Seddon Park,New Zealand,South Africa,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,South Africa in New Zealand ODI Series,True
