ball_by_ball_id,ball_by_ball_name,match_score,reason
0,A Adekunle,63,No good match found
1,A Ahmadhel,70,No good match found
2,A Aikenhead,57,No good match found
3,A Aitken,67,No good match found
4,A Aitken-Drummond,50,No good match found
5,A Akhigbe,62,No good match found
6,A Akurut,67,No good match found
7,A Alexander,67,No good match found
8,A Alfonso,59,No good match found
9,A Amado,71,No good match found
10,A Andrews,63,No good match found
11,A Andriani,67,No good match found
12,A Argyropoulou,50,No good match found
13,A Ashok,62,No good match found
14,A Ashokan,67,No good match found
15,A Athanaze,67,No good match found
16,A Augastin,59,No good match found
17,A Bagai,71,No good match found
19,A Beresford-Peirse,52,No good match found
20,A Bester,67,No good match found
21,A Bhadauria,73,No good match found
22,A Bhagwat,67,No good match found
23,A Bhargava,63,No good match found
24,A Bhattarai,67,No good match found
25,A Bidari,63,No good match found
26,A Bierwisch,67,No good match found
28,A Bohara,71,No good match found
29,A Bonora,63,No good match found
32,A Brindle,74,No good match found
33,A Brown-Carrera,58,No good match found
34,A Bulow,67,No good match found
35,A Burdett,60,No good match found
36,A Bushell,70,No good match found
37,A Busing-Volschenk,56,No good match found
41,A Cespedes,59,No good match found
42,A Chandel,73,No good match found
43,A Chanula,64,No good match found
45,A Chaubey,71,No good match found
46,A Chaudhary,70,No good match found
47,A Chenthamara,61,No good match found
48,A Chilia,71,No good match found
49,A Chopra,62,No good match found
50,A Cloete,67,No good match found
51,A Conteh,62,No good match found
52,A Cossa,67,No good match found
54,A Dananjaya,58,No good match found
55,A Daniel,71,No good match found
56,A Das,71,No good match found
57,A Dastgir,62,No good match found
58,A Davidson Soler,67,No good match found
59,A Davidson-Soler,67,No good match found
60,A Daxini,63,No good match found
61,A Dcosta,62,No good match found
62,A Denuwan,62,No good match found
64,A Desai,62,No good match found
65,A Dhabe,67,No good match found
66,A Dhar,71,No good match found
67,A Dhingra,62,No good match found
68,A Dineshi,59,No good match found
69,A Dirannehelage,56,No good match found
70,A Dizija,59,No good match found
71,A Djorovic,59,No good match found
72,A Doddaballapur,56,No good match found
73,A Donovan,59,No good match found
74,A Dowling,67,No good match found
75,A Dulara,71,No good match found
76,A Dutt,62,No good match found
77,A Edward,62,No good match found
78,A Edwards,59,No good match found
79,A Emch,62,No good match found
80,A Faletar,67,No good match found
83,A Fillie,71,No good match found
84,A Flintoff,64,No good match found
85,A Freeman,62,No good match found
86,A Fujikawa,63,No good match found
87,A Galan,67,No good match found
89,A Gasteratos,58,No good match found
91,A Gbla,62,No good match found
92,A Gianani,67,No good match found
93,A Gisdaki,62,No good match found
94,A Goenka,59,No good match found
95,A Gorawara,60,No good match found
96,A Gordon,71,No good match found
97,A Govorko,56,No good match found
98,A Gqamane,67,No good match found
99,A Griffin,59,No good match found
100,A Gulati,62,No good match found
101,A Gunasekar,63,No good match found
102,A Gupta,59,No good match found
103,A Gurung,62,No good match found
104,A Halbhavi,59,No good match found
106,A Hartley,71,No good match found
107,A Heidov,62,No good match found
108,A Hepburn,59,No good match found
109,A Hewage,62,No good match found
110,A Hlubi,62,No good match found
111,A Hogg,57,No good match found
113,A Husain,71,No good match found
114,A Igbobie,60,No good match found
115,A Ikuzwe,53,No good match found
116,A Ilahi,67,No good match found
117,A Ilaoa,59,No good match found
118,A Iopu,57,No good match found
119,A Jacobs,62,No good match found
120,A Javid,71,No good match found
121,A Johnmary,67,No good match found
122,A Johnson,71,No good match found
124,A Kadowaki Fleming,49,No good match found
125,A Kainessie,64,No good match found
126,A Kalasi,67,No good match found
127,A Kanada,67,No good match found
128,A Kano,67,No good match found
129,A Kansonkho,60,No good match found
130,A Kanukuntla,63,No good match found
131,A Kanwal,67,No good match found
132,A Kapil,62,No good match found
133,A Kapoor,67,No good match found
134,A Karmacharya,70,No good match found
136,A Karvelas,59,No good match found
137,A Kato-Stafford,52,No good match found
138,A Katoa,71,No good match found
142,A Kheterpal,63,No good match found
143,A Khullar,63,No good match found
145,A Kirschbaum,58,No good match found
146,A Kitamura,71,No good match found
147,A Kitayama,59,No good match found
149,A Kolan,62,No good match found
150,A Kone,71,No good match found
151,A Konhu,57,No good match found
152,A Kontopirakis,52,No good match found
153,A Koul,71,No good match found
154,A Kourkoulou,53,No good match found
155,A Krishna,69,No good match found
156,A Kshirsagar,63,No good match found
157,A Kuthalingham,57,No good match found
158,A Langham,64,No good match found
159,A Lazic,57,No good match found
160,A Le Ray,62,No good match found
161,A Letuba,53,No good match found
162,A Levaci,62,No good match found
163,A Limdawala,57,No good match found
165,A Littlejohns,67,No good match found
166,A Lumbe,59,No good match found
167,A Lyth,57,No good match found
168,A Magdalenic,60,No good match found
169,A Maheshwari,67,No good match found
170,A Makesh,67,No good match found
171,A Makri,71,No good match found
172,A Manatos,63,No good match found
173,A Manepalli,60,No good match found
174,A Manousis,59,No good match found
175,A Mansale,60,No good match found
180,A McAuley,71,No good match found
181,A McKnight,74,No good match found
182,A Mehdi,59,No good match found
184,A Mene-Ejegi,50,No good match found
185,A Merritt,62,No good match found
186,A Mesarovic,63,No good match found
187,A Meyenborg,56,No good match found
188,A Mgijima,53,No good match found
