team_id,opposition,h2h_matches,h2h_avg_runs,h2h_win_rate,h2h_strength
0,Dubai Capitals,7,160.86,0.14,1.2
0,Gulf Giants,5,148.0,0.4,1.1
0,Sharjah Warriorz,2,160.0,0.5,1.19
1,Colombo Cricket Club,1,98.0,0.0,0.73
1,Kurunegala Youth Cricket Club,1,82.0,1.0,0.61
1,Negombo Cricket Club,1,135.0,0.0,1.01
1,Nondescripts Cricket Club,1,115.0,0.0,0.86
1,Sinhalese Sports Club,1,178.0,1.0,1.33
2,Brazil,6,50.83,0.17,0.38
2,Canada,5,79.8,0.2,0.59
2,Cayman Islands,2,109.5,0.0,0.82
2,Chile,3,228.67,1.0,1.7
2,Mexico,3,116.33,1.0,0.87
2,United States of America,6,83.67,0.0,0.62
3,Bangladesh,16,125.88,0.75,0.94
3,England,60,148.38,0.52,1.1
3,India,59,153.95,0.53,1.15
3,Ireland,9,136.33,1.0,1.02
3,New Zealand,47,142.02,0.7,1.06
3,Pakistan,44,130.14,0.64,0.97
3,Scotland,4,172.75,1.0,1.29
3,South Africa,36,155.39,0.69,1.16
3,Sri Lanka,35,145.34,0.66,1.08
3,United Arab Emirates,1,119.0,1.0,0.89
3,West Indies,39,155.87,0.67,1.16
4,Belgium,5,174.4,1.0,1.3
4,Czech Republic,7,149.14,0.86,1.11
4,Denmark,2,103.5,0.0,0.77
4,France,2,145.5,1.0,1.08
4,Germany,11,89.36,0.18,0.67
4,Guernsey,1,141.0,1.0,1.05
4,Hungary,5,166.2,0.8,1.24
4,Ireland,1,98.0,0.0,0.73
4,Israel,1,110.0,1.0,0.82
4,Luxembourg,7,149.0,0.71,1.11
4,Norway,4,118.75,0.75,0.88
4,Scotland,1,66.0,0.0,0.49
4,Slovenia,4,176.5,1.0,1.31
4,Sweden,3,132.0,1.0,0.98
4,Switzerland,5,161.4,0.6,1.2
5,Burgher Recreation Club,1,80.0,0.0,0.6
5,Chilaw Marians Cricket Club,1,110.0,0.0,0.82
5,Moors Sports Club,2,107.5,0.0,0.8
6,Argentina,3,104.67,0.67,0.78
6,Belize,1,117.0,1.0,0.87
6,Bermuda,8,100.0,0.0,0.74
6,Cayman Islands,5,112.2,0.0,0.84
6,Mexico,1,95.0,1.0,0.71
6,Panama,3,109.0,0.67,0.81
6,United States of America,2,79.0,0.0,0.59
7,Hong Kong,8,94.62,0.38,0.7
7,Indonesia,6,115.5,0.67,0.86
7,Kuwait,15,126.93,0.27,0.95
7,Malawi,7,131.71,1.0,0.98
7,Nepal,4,40.5,0.0,0.3
7,Oman,9,118.67,0.22,0.88
7,Qatar,14,120.29,0.29,0.9
7,Singapore,5,121.0,0.8,0.9
7,Uganda,2,93.0,0.5,0.69
7,United Arab Emirates,9,121.44,0.22,0.9
8,Australia,16,117.69,0.25,0.88
8,Hong Kong,3,138.0,0.67,1.03
8,India,33,121.94,0.12,0.91
8,Ireland,19,129.58,0.53,0.96
8,Maldives,1,255.0,1.0,1.9
8,Netherlands,9,131.0,0.78,0.98
8,New Zealand,24,115.17,0.17,0.86
8,Oman,2,166.5,1.0,1.24
8,Pakistan,37,119.76,0.24,0.89
8,Papua New Guinea,4,117.5,1.0,0.87
8,Scotland,6,106.33,0.83,0.79
8,South Africa,19,105.95,0.05,0.79
8,Sri Lanka,34,134.53,0.35,1.0
8,Thailand,6,99.67,1.0,0.74
8,United Arab Emirates,7,151.14,0.71,1.13
8,United States of America,5,121.0,0.6,0.9
8,West Indies,26,130.92,0.31,0.97
8,Zimbabwe,27,148.96,0.7,1.11
9,India,1,62.0,0.0,0.46
9,Jamaica,2,112.5,1.0,0.84
10,Austria,5,167.6,0.0,1.25
10,France,5,110.2,0.4,0.82
10,Gibraltar,1,142.0,1.0,1.06
10,Isle of Man,1,122.0,1.0,0.91
10,Italy,1,141.0,0.0,1.05
10,Luxembourg,2,174.5,1.0,1.3
10,Malta,10,136.2,0.8,1.01
10,Portugal,4,138.25,0.25,1.03
10,Serbia,1,179.0,1.0,1.33
10,Spain,1,149.0,1.0,1.11
11,Bermuda,2,68.5,0.0,0.51
11,Brazil,1,121.0,1.0,0.9
11,Canada,3,54.33,0.0,0.4
11,Cayman Islands,1,107.0,0.0,0.8
11,Suriname,1,98.0,0.0,0.73
11,United States of America,3,66.33,0.0,0.49
12,Bahamas,8,132.88,1.0,0.99
12,Belize,2,106.0,1.0,0.79
12,Canada,5,111.2,0.2,0.83
12,Cayman Islands,10,141.8,0.9,1.06
12,Denmark,1,112.0,1.0,0.83
12,Kenya,2,108.5,0.0,0.81
12,Mexico,1,97.0,1.0,0.72
12,Namibia,1,106.0,0.0,0.79
12,Netherlands,1,114.0,0.0,0.85
12,Panama,4,109.25,1.0,0.81
12,Scotland,3,135.33,0.33,1.01
12,United States of America,6,125.5,0.33,0.93
13,Cambodia,1,123.0,0.0,0.92
13,China,2,104.0,1.0,0.77
13,Hong Kong,3,88.33,0.0,0.66
13,Kuwait,4,93.0,0.5,0.69
13,Malaysia,5,76.0,0.0,0.57
13,Maldives,9,117.44,0.56,0.87
13,Myanmar,5,92.6,0.2,0.69
13,Nepal,6,56.17,0.0,0.42
13,Saudi Arabia,3,76.33,0.0,0.57
13,Singapore,3,89.67,0.33,0.67
13,United Arab Emirates,3,79.0,0.0,0.59
14,Derbyshire,12,178.75,0.58,1.33
14,Durham,12,152.67,0.5,1.14
14,Glamorgan,2,141.5,1.0,1.05
14,Gloucestershire,3,115.67,0.0,0.86
14,Kent,1,141.0,0.0,1.05
14,Lancashire,7,152.86,0.57,1.14
14,Leicestershire,9,153.56,0.67,1.14
14,Northamptonshire,16,179.06,0.5,1.33
14,Nottinghamshire,14,158.21,0.57,1.18
14,Somerset,2,148.5,0.5,1.11
14,Worcestershire,15,178.4,0.6,1.33
14,Yorkshire,14,169.93,0.64,1.27
15,Kandy Customs Cricket Club,1,81.0,1.0,0.6
15,Moors Sports Club,2,94.0,0.5,0.7
15,Panadura Sports Club,1,129.0,1.0,0.96
15,Police Sports Club,1,147.0,1.0,1.09
15,Tamil Union Cricket and Athletic Club,1,119.0,0.0,0.89
16,Dolphins,4,124.75,0.75,0.93
16,Lions,3,156.0,0.33,1.16
16,North West,4,124.25,0.25,0.93
16,Titans,4,122.25,0.5,0.91
16,Warriors,3,164.33,0.67,1.22
17,Eswatini,5,153.4,1.0,1.14
17,Kenya,10,90.5,0.1,0.67
17,Lesotho,6,143.33,1.0,1.07
17,Namibia,13,82.69,0.08,0.62
17,Nigeria,8,101.12,0.12,0.75
17,Sierra Leone,8,102.25,0.38,0.76
17,St Helena,2,111.5,1.0,0.83
17,Tanzania,5,101.0,0.0,0.75
17,Uganda,8,91.38,0.0,0.68
18,Argentina,6,67.0,0.83,0.5
18,Belize,1,120.0,0.0,0.89
18,Cameroon,1,156.0,1.0,1.16
18,Germany,1,117.0,1.0,0.87
18,Kenya,1,81.0,0.0,0.6
18,Mexico,2,93.5,0.5,0.7
18,Sierra Leone,1,87.0,1.0,0.65
19,Czech Republic,2,143.5,0.0,1.07
19,Estonia,3,97.0,0.0,0.72
19,Finland,1,74.0,0.0,0.55
19,Gibraltar,7,196.57,0.57,1.46
19,Greece,3,109.0,0.0,0.81
19,Luxembourg,2,99.0,0.0,0.74
19,Malta,3,155.33,0.0,1.16
19,Romania,7,109.86,0.14,0.82
19,Serbia,13,143.54,0.38,1.07
19,Turkey,4,145.5,0.5,1.08
20,Chilaw Marians Cricket Club,2,130.0,1.0,0.97
